"path","line","text"
"C:\Chartly2.0\CHANGELOG.md","21","- CI/CD workflow placeholders for linting, testing, and deployments."
"C:\Chartly2.0\Chartly2.0\CHANGELOG.md","21","- CI/CD workflow placeholders for linting, testing, and deployments."
"C:\Chartly2.0\Chartly2.0\configs\connector-registry.yaml","5","  status: ""roadmap"""
"C:\Chartly2.0\Chartly2.0\configs\tenancy.yaml","88","    - ""Storage retention is enforced by lifecycle jobs (roadmap)."""
"C:\Chartly2.0\Chartly2.0\contracts\codegen\templates\go_structs.tmpl","1","{{/* Chartly Go Structs Template (placeholder)"
"C:\Chartly2.0\Chartly2.0\contracts\codegen\templates\py_models.tmpl","1","{{/* Chartly Python Models Template (placeholder)"
"C:\Chartly2.0\Chartly2.0\contracts\codegen\templates\ts_types.tmpl","1","{{/* Chartly TypeScript Types Template (placeholder)"
"C:\Chartly2.0\Chartly2.0\docs\ARCHITECTURE.md","109","- placeholders (`null` ids, `[]` lists) until implemented by provider overlays"
"C:\Chartly2.0\Chartly2.0\infra\docker\docker-compose.dev.yml","68","    # Canonical dev template: placeholder until gateway image/build is finalized."
"C:\Chartly2.0\Chartly2.0\infra\helm\chartly\Chart.yaml","25","  # Artifact Hub metadata (optional; safe placeholders)"
"C:\Chartly2.0\Chartly2.0\infra\terraform\modules\eks\main.tf","194","# Future-facing placeholders (no provider resources here):"
"C:\Chartly2.0\Chartly2.0\infra\terraform\modules\eks\outputs.tf","31","# Future-facing placeholders (no provider resources here):"
"C:\Chartly2.0\Chartly2.0\infra\terraform\modules\rds\main.tf","294","# Future-facing placeholders (no provider resources here):"
"C:\Chartly2.0\Chartly2.0\infra\terraform\modules\rds\outputs.tf","31","# Future-facing placeholders (no provider resources here):"
"C:\Chartly2.0\Chartly2.0\infra\terraform\modules\redis\main.tf","212","# Future-facing placeholders (no provider resources here):"
"C:\Chartly2.0\Chartly2.0\infra\terraform\modules\redis\outputs.tf","31","# Future-facing placeholders (no provider resources here):"
"C:\Chartly2.0\Chartly2.0\infra\terraform\modules\s3\main.tf","203","# Future-facing placeholders (no provider resources here):"
